Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2019-02-04,169.25,0.8577,0.103,0.785,0.112,165.7,169.3,163.62,19980980
2019-02-05,171.16,0.985,0.063,0.819,0.118,169.15,171.98,168.69,21723960
2019-02-06,170.49,-0.25,0.062,0.876,0.062,171.2,172.47,169.27,13254460
2019-02-07,166.38,0.3818,0.07,0.849,0.081,168.2,169.24,165.25,17206800
2019-02-08,167.33,-0.9935,0.12,0.824,0.056,164.47,167.37,164.21,12485700
2019-02-11,165.79,0.8875,0.026,0.884,0.09,167.9,168.3,165.08,12694750
2019-02-11,165.79,0.8875,0.026,0.884,0.09,167.9,168.3,165.08,12694750
2019-02-12,165.04,0.9973,0.054,0.788,0.158,166.86,168.34,164.5,16241390
2019-02-13,164.07,0.9904,0.058,0.831,0.112,165.38,166.22,163.73,14168500
2019-02-14,163.95,-0.9952,0.104,0.851,0.045,163.19,164.8697,162.2468,12696560
2019-02-15,162.5,0.3744,0.078,0.843,0.079,164.51,164.7,160.86,15485430
2019-02-19,162.29,0.2075,0.065,0.875,0.06,160.5,164.15,160.33,14320590
2019-02-20,162.56,-0.9593,0.078,0.875,0.047,162.25,163.72,161.25,11758420
2019-02-21,160.04,-0.4852,0.062,0.875,0.063,161.93,162.24,159.59,15455630
2019-02-22,161.89,0.9061,0.038,0.902,0.06,160.58,162.41,160.31,15845990
2019-02-25,164.62,0.9751,0.019,0.893,0.088,163.07,166.07,162.9,17615000
2019-02-26,164.13,0.9905,0.048,0.81,0.142,164.335,166.24,163.8,13630540
2019-02-27,162.81,-0.5372,0.052,0.903,0.044,162.9,163.93,160.41,12685830
2019-02-28,161.45,0.9813,0.013,0.9,0.087,162.37,163.5,160.86,11083060
2019-03-01,162.28,-0.9994,0.202,0.737,0.061,162.6,163.132,161.69,11022100
2019-03-04,167.37,0.9756,0.056,0.83,0.114,163.9,167.5,163.83,18864670
2019-03-05,171.26,0.9827,0.063,0.808,0.128,167.37,171.88,166.55,26581790
2019-03-06,172.51,-0.9746,0.059,0.899,0.041,172.9,173.57,171.27,20775850
2019-03-07,169.13,0.9746,0.019,0.846,0.134,171.5,171.74,167.61,18200280
2019-03-08,169.6,0.8625,0.069,0.799,0.131,166.2,169.62,165.97,12737410
2019-03-11,172.07,0.9402,0.038,0.849,0.113,171.6,174.3,171.58,18534610
2019-03-11,172.07,0.9402,0.038,0.849,0.113,171.6,174.3,171.58,18534610
2019-03-12,171.92,0.9974,0.048,0.793,0.159,172.09,173.8,171.2178,12136730
2019-03-13,173.37,-0.9947,0.139,0.795,0.066,172.32,174.03,172.12,11514940
2019-03-14,170.17,-0.8442,0.09,0.848,0.063,169.76,171.15,168.16,17882100
2019-03-15,165.98,0.9969,0.044,0.82,0.136,167.16,167.58,162.51,37088870
